outbreak_escalation_rate,critical_network_threshold,baseline_outbreak_prob,baseline_network_density,meth_annual_growth_rate,housing_instability_rate,incarceration_annual_rate,ssp_coverage,oat_coverage,p_outbreak_current_policy,p_outbreak_decriminalization,p_outbreak_full_harm_reduction,p_outbreak_theoretical_max
1.3606958015515132,0.324727493169197,0.051932922233230566,0.1956004471104791,0.04500098482986665,0.6511626529413467,0.22896934337932112,0.24704033680825696,0.13940870917936088,0.12004415463104916,0.11993511455756826,0.11444321153094475,0.07441222003820747
3.828181158117071,0.4018429075115987,0.02388896283284325,0.2244333354312421,0.01222907049973945,0.6884332755050004,0.31687805370354205,0.19594694282785113,0.04010556731405146,0.13740535630078554,0.13702580067176218,0.11880639757504492,0.03293689614513571
3.4584518579158336,0.3925394840892701,0.02746288785222794,0.23880519719813886,0.027400411381123743,0.6768476668922652,0.2051409342900919,0.23701490200078207,0.06872389150124586,0.1336983744622059,0.1333697006918883,0.11746861132847576,0.037171917190692565
3.8708756831313518,0.2994301461667988,0.07235830712230003,0.19534035853303133,0.013277763122473325,0.5851856084177304,0.4047784652982537,0.252776041734752,0.1428849205382479,0.5035868798869262,0.5022587930198881,0.4383023656035362,0.12546576438568385
3.463891387303649,0.3963137899582412,0.07107375895483428,0.14166809892810217,0.02508347812151037,0.7771584823222614,0.2884089368113596,0.20513627685520958,0.13840610943100598,0.2852055005891689,0.2845504519701795,0.2527269996362818,0.08820357432236575
4.648756619644747,0.3204655915461974,0.06067769389966651,0.22504096990979983,0.037012497493903354,0.6015109253843349,0.3061131710236619,0.16791164479612422,0.11323854157101276,0.5952547456472814,0.5933309836372114,0.5020943603928121,0.1083581823373707
2.1615415464273307,0.332413660440278,0.03104181129402813,0.12491436652982715,0.030391412367425603,0.7697319695108913,0.23571532540293405,0.23960840031234543,0.14248090348275896,0.08902244727007169,0.08890019164157296,0.08281685540057106,0.043192554446611055
3.249080953384342,0.2663775424452673,0.03963559243220094,0.17183840489409177,0.04657251058869286,0.5990521710758471,0.4163929102013168,0.29144327687305016,0.13320748599673637,0.22081173186646766,0.2203344088217749,0.19706406201554932,0.07070169593751939
3.580365617540862,0.26762016880132805,0.06706222566868032,0.14603376558315967,0.02703126833245663,0.7151802403181718,0.40617829437913516,0.1641047546660603,0.053792384240462766,0.47740052288260626,0.47625211544130963,0.42061693369808967,0.13440829026699014
3.170641468237907,0.4134731371307133,0.0277970631076198,0.2142117985485828,0.02543431177354733,0.5572204651962791,0.27903039019314113,0.2305473535111237,0.12832343718906825,0.09733992680523257,0.09713389616564382,0.08707781940412172,0.03302200384540195
